model,n,rmse,rmse_ci_low,rmse_ci_high,r_ci_low,r_ci_high
bica_chemberta_prot_electra__leakypdb,4838,1.5825199,1.5461732000112534,1.6184193521738053,0.501008265712583,0.5466647367519344
gat_ecfp_esm2_8M__leakypdb,4838,1.5839347,1.550011894106865,1.6161005973815918,0.43139374296548855,0.4772118197489686
bica_chemberta_esm2_8M__leakypdb,4838,1.5955465,1.5632463216781616,1.6290272295475006,0.4229387502875175,0.4678944046538725
gcn_ecfp_esm2_8M__leakypdb,4838,1.5968645,1.5653977900743485,1.6290196746587753,0.4070076067613235,0.4524866923523005
gli_mol_esm2_35M,4938,1.6104537,1.5788049846887589,1.6427870035171508,0.4040653525075786,0.45612539930366697
mlp_ecfp4_prot_electra__leakypdb,4838,1.6120152,1.5774240225553513,1.6448428004980087,0.4626568437449535,0.5031199408632009
gli_mol_esm2_8M,4938,1.61359,1.5819731891155242,1.6469469636678695,0.4492948015202114,0.49563713628035566
ridge_ecfp4_aac__seed123,4925,1.6136731,1.5798154413700103,1.6493213444948196,0.2884946964993274,0.3465352082486896
mlp_chemberta_prot_electra__leakypdb,4838,1.6361369,1.6008323162794114,1.6719857692718505,0.44471854933708066,0.4915739064395721
mlp_ecfp4_esm2_8M__leakypdb,4838,1.6450099,1.6109092086553574,1.6811494767665862,0.44475860957354885,0.49156270386063433
ridge_ecfp4_aac__leakypdb,4838,1.6862364,1.6526580035686493,1.721466737985611,0.39356746924184466,0.43699566704049203
psichic_zero_shot,4715,1.7871825,1.756034791469574,1.819268661737442,0.42779919319525767,0.48257539304158453
ridge_smiles_char_kmer3_8000,4715,2.1670353,2.057123249769211,2.2805349349975583,0.3052919933455579,0.3797459511466989
ridge_smiles_char_prot_electra_256,4715,2.1715214,2.054319775104523,2.287366437911987,0.3116606325859072,0.3804388807755224
ridge_smiles_char_protein_char,4715,2.401745,2.2965886294841766,2.5136707425117493,0.21022570554247302,0.2712554522913764
mlp_chemberta_esm2_8M_dsm,4715,6.850394,6.808980119228363,6.893596875667572,0.10548648742242597,0.16831603557065256
