feature,importance
AAC_I,0.00048488
ECFP4_157,0.00048404356
ECFP4_910,0.00048110817
ECFP4_1677,0.0004809545
ECFP4_1791,0.00047777142
ECFP4_801,0.000477329
ECFP4_737,0.00047665235
ECFP4_1094,0.00047363134
ECFP4_1160,0.0004729248
ECFP4_1070,0.0004727708
ECFP4_318,0.00047030585
ECFP4_1297,0.00046764858
ECFP4_513,0.0004672325
ECFP4_695,0.00046660614
ECFP4_1283,0.00046657526
ECFP4_2007,0.0004657556
AAC_N,0.0004657007
ECFP4_780,0.00046502473
ECFP4_752,0.00046471925
ECFP4_1416,0.00046378264
ECFP4_1391,0.00046334727
ECFP4_1697,0.00046317198
ECFP4_1954,0.00046263955
ECFP4_403,0.00046241167
ECFP4_836,0.00046206516
ECFP4_701,0.00046106344
ECFP4_281,0.00046092254
ECFP4_559,0.0004588591
ECFP4_1320,0.00045770092
ECFP4_341,0.00045662696
ECFP4_1738,0.00045654434
ECFP4_381,0.00045527593
ECFP4_231,0.00045421417
ECFP4_968,0.00045215595
ECFP4_382,0.00045184078
ECFP4_1083,0.00045151147
ECFP4_1488,0.00045095006
ECFP4_1485,0.0004507942
ECFP4_1055,0.0004506583
ECFP4_1058,0.000449414
ECFP4_755,0.00044888243
ECFP4_1943,0.00044825015
ECFP4_733,0.00044806043
ECFP4_1837,0.00044427445
ECFP4_1349,0.0004439153
ECFP4_863,0.0004415385
ECFP4_710,0.0004413675
ECFP4_1035,0.0004409967
ECFP4_931,0.000440816
ECFP4_1056,0.00043980795
ECFP4_774,0.00043975093
ECFP4_1474,0.000439547
ECFP4_1152,0.0004393214
ECFP4_554,0.00043917817
ECFP4_1952,0.00043872528
ECFP4_190,0.00043589264
ECFP4_826,0.00043586927
ECFP4_195,0.00043578286
ECFP4_846,0.00043568388
ECFP4_604,0.0004355131
ECFP4_1257,0.00043499362
ECFP4_85,0.0004347497
ECFP4_1720,0.00043360883
ECFP4_236,0.00043341276
ECFP4_1649,0.00043250885
ECFP4_1212,0.00043184886
ECFP4_2047,0.0004314787
ECFP4_1645,0.00043108093
ECFP4_1040,0.00043073535
ECFP4_1630,0.0004305226
ECFP4_122,0.0004291692
ECFP4_75,0.00042614128
ECFP4_2025,0.00042613427
ECFP4_1861,0.00042545173
ECFP4_1354,0.0004251083
ECFP4_1097,0.00042503956
ECFP4_2029,0.00042437625
ECFP4_1876,0.0004241155
ECFP4_1049,0.00042394936
ECFP4_897,0.00042375186
ECFP4_1299,0.0004235763
ECFP4_1735,0.00042348853
ECFP4_411,0.00042308567
ECFP4_1874,0.00042303087
ECFP4_804,0.00042278288
ECFP4_837,0.00042190752
ECFP4_1513,0.0004214
ECFP4_1005,0.00042115556
ECFP4_1860,0.00042105245
ECFP4_1980,0.00042055687
ECFP4_252,0.0004184609
ECFP4_1510,0.00041816902
ECFP4_136,0.00041738807
ECFP4_1856,0.0004171775
ECFP4_1794,0.00041699634
ECFP4_204,0.00041650012
ECFP4_1290,0.0004160812
ECFP4_15,0.00041584147
ECFP4_759,0.00041553302
ECFP4_1549,0.0004149378
ECFP4_1780,0.0004147372
ECFP4_1275,0.00041423133
ECFP4_1701,0.00041378208
ECFP4_168,0.00041362242
ECFP4_1499,0.00041287995
ECFP4_440,0.0004121634
ECFP4_573,0.00041134076
ECFP4_1918,0.0004102758
ECFP4_1784,0.00040990778
ECFP4_1410,0.0004097778
ECFP4_803,0.00040944232
ECFP4_718,0.00040928397
ECFP4_141,0.00040850442
ECFP4_2030,0.0004078525
ECFP4_2018,0.0004067198
ECFP4_1001,0.00040665688
ECFP4_1581,0.00040658604
ECFP4_1057,0.00040574785
ECFP4_95,0.00040537203
ECFP4_1759,0.00040447773
ECFP4_2020,0.00040446216
ECFP4_1054,0.00040410957
ECFP4_1164,0.00040410788
ECFP4_977,0.00040377118
ECFP4_48,0.00040100637
ECFP4_1204,0.00040087974
ECFP4_1834,0.0004004645
ECFP4_1839,0.00040045788
ECFP4_1239,0.00039877844
ECFP4_932,0.0003981304
ECFP4_201,0.00039728964
ECFP4_1064,0.00039683812
ECFP4_1249,0.0003960202
ECFP4_1806,0.0003937485
ECFP4_312,0.00039109273
ECFP4_1187,0.0003907358
ECFP4_632,0.00039064317
ECFP4_289,0.00039016618
ECFP4_781,0.0003901025
ECFP4_99,0.00038756125
ECFP4_927,0.00038585532
ECFP4_1714,0.00038581114
ECFP4_30,0.00038572508
ECFP4_275,0.0003855249
ECFP4_1755,0.00038544307
ECFP4_888,0.00038515584
ECFP4_1626,0.0003842375
ECFP4_974,0.00038411506
ECFP4_651,0.00038336706
ECFP4_221,0.00038307722
ECFP4_51,0.0003828041
ECFP4_1318,0.0003824933
ECFP4_402,0.00038229857
ECFP4_788,0.000381997
ECFP4_1745,0.00038124557
ECFP4_2041,0.0003812175
