feature,importance
ECFP4_1714,3
ECFP4_1313,3
ECFP4_1312,3
ECFP4_1371,3
ECFP4_1302,3
ECFP4_149,3
ECFP4_151,3
ECFP4_1300,3
ECFP4_1296,3
ECFP4_136,3
ECFP4_288,3
ECFP4_1218,3
ECFP4_1217,3
ECFP4_309,3
ECFP4_95,3
ECFP4_1136,3
ECFP4_220,3
ECFP4_339,3
ECFP4_1133,3
ECFP4_1804,3
ECFP4_1806,3
ECFP4_1808,3
ECFP4_1460,3
ECFP4_1799,3
ECFP4_343,3
ECFP4_1108,3
ECFP4_1819,3
ECFP4_1822,3
ECFP4_1101,3
ECFP4_351,3
ECFP4_1825,3
ECFP4_1800,3
ECFP4_221,3
ECFP4_1680,3
ECFP4_1182,3
ECFP4_1204,3
ECFP4_1675,3
ECFP4_1416,3
ECFP4_1420,3
ECFP4_1668,3
ECFP4_1189,3
ECFP4_1425,3
ECFP4_1665,3
ECFP4_1454,3
ECFP4_1785,3
ECFP4_1169,3
ECFP4_231,3
ECFP4_1658,3
ECFP4_329,3
ECFP4_156,3
ECFP4_1793,3
ECFP4_861,3
ECFP4_553,3
ECFP4_597,3
ECFP4_547,3
ECFP4_454,3
ECFP4_2047,3
ECFP4_812,3
ECFP4_782,3
ECFP4_781,3
ECFP4_629,3
ECFP4_492,3
ECFP4_488,3
ECFP4_1946,3
ECFP4_809,3
ECFP4_753,3
ECFP4_466,3
ECFP4_2018,3
ECFP4_625,3
ECFP4_512,3
ECFP4_46,3
ECFP4_624,3
ECFP4_1971,3
ECFP4_655,3
ECFP4_22,3
ECFP4_479,3
ECFP4_1949,3
ECFP4_632,3
ECFP4_819,3
ECFP4_762,3
ECFP4_711,3
ECFP4_472,3
ECFP4_504,3
ECFP4_789,3
ECFP4_763,3
ECFP4_759,3
ECFP4_848,3
ECFP4_636,3
ECFP4_480,3
ECFP4_744,3
ECFP4_767,3
ECFP4_470,3
ECFP4_693,3
ECFP4_795,3
ECFP4_633,3
ECFP4_530,2
ECFP4_356,2
ECFP4_1588,2
ECFP4_777,2
ECFP4_1833,2
ECFP4_1094,2
ECFP4_774,2
ECFP4_1836,2
ECFP4_144,2
ECFP4_766,2
ECFP4_773,2
ECFP4_1086,2
ECFP4_264,2
ECFP4_1835,2
ECFP4_273,2
ECFP4_850,2
ECFP4_1363,2
ECFP4_1064,2
ECFP4_1011,2
ECFP4_474,2
ECFP4_1400,2
ECFP4_1397,2
ECFP4_1856,2
ECFP4_1390,2
ECFP4_1389,2
ECFP4_75,2
ECFP4_1387,2
ECFP4_647,2
ECFP4_250,2
ECFP4_379,2
ECFP4_1035,2
ECFP4_784,2
ECFP4_376,2
ECFP4_503,2
ECFP4_1040,2
ECFP4_1047,2
ECFP4_370,2
ECFP4_257,2
ECFP4_367,2
ECFP4_1052,2
ECFP4_1055,2
ECFP4_1058,2
ECFP4_1689,2
ECFP4_364,2
ECFP4_1063,2
ECFP4_1373,2
ECFP4_1976,2
ECFP4_664,2
ECFP4_1267,2
ECFP4_1789,2
ECFP4_1170,2
ECFP4_1172,2
ECFP4_291,2
ECFP4_321,2
ECFP4_1175,2
ECFP4_42,2
ECFP4_1178,2
ECFP4_692,2
ECFP4_109,2
ECFP4_1270,2
ECFP4_1778,2
ECFP4_319,2
ECFP4_1736,2
ECFP4_1265,2
ECFP4_1285,2
ECFP4_2003,2
ECFP4_721,2
ECFP4_1741,2
ECFP4_315,2
ECFP4_1258,2
ECFP4_497,2
ECFP4_1769,2
ECFP4_1251,2
ECFP4_1246,2
ECFP4_1208,2
ECFP4_1212,2
ECFP4_1753,2
ECFP4_706,2
ECFP4_1229,2
ECFP4_735,2
ECFP4_737,2
ECFP4_2016,2
ECFP4_1132,2
ECFP4_1709,2
ECFP4_758,2
ECFP4_1716,2
ECFP4_69,2
ECFP4_1977,2
ECFP4_341,2
ECFP4_1811,2
ECFP4_672,2
ECFP4_1809,2
ECFP4_752,2
ECFP4_1807,2
ECFP4_751,2
ECFP4_97,2
ECFP4_554,2
ECFP4_1980,2
ECFP4_687,2
ECFP4_515,2
ECFP4_484,2
ECFP4_1718,2
ECFP4_100,2
ECFP4_1304,2
ECFP4_1297,2
ECFP4_31,2
ECFP4_740,2
ECFP4_1796,2
ECFP4_1794,2
ECFP4_332,2
ECFP4_1153,2
ECFP4_738,2
ECFP4_1158,2
ECFP4_536,2
ECFP4_1758,2
ECFP4_5,2
ECFP4_973,2
ECFP4_2038,2
ECFP4_1464,2
ECFP4_616,2
ECFP4_891,2
ECFP4_437,2
ECFP4_1619,2
ECFP4_1649,2
ECFP4_834,2
ECFP4_1936,2
ECFP4_448,2
ECFP4_832,2
ECFP4_449,2
ECFP4_1603,2
ECFP4_965,2
ECFP4_1453,2
ECFP4_594,2
ECFP4_576,2
ECFP4_157,2
ECFP4_595,2
ECFP4_957,2
ECFP4_434,2
ECFP4_1605,2
ECFP4_1548,2
ECFP4_600,2
ECFP4_215,2
ECFP4_884,2
ECFP4_1898,2
ECFP4_815,2
ECFP4_1486,2
ECFP4_1640,2
ECFP4_25,2
ECFP4_569,2
ECFP4_1543,2
ECFP4_56,2
ECFP4_1479,2
ECFP4_879,2
ECFP4_1903,2
ECFP4_166,2
ECFP4_1930,2
ECFP4_1499,2
ECFP4_1470,2
ECFP4_1952,2
ECFP4_1448,2
ECFP4_2033,2
ECFP4_1666,2
ECFP4_1427,2
ECFP4_592,2
ECFP4_169,2
ECFP4_1630,2
ECFP4_209,2
ECFP4_913,2
ECFP4_203,2
ECFP4_61,2
ECFP4_1515,2
ECFP4_398,2
ECFP4_20,2
ECFP4_1417,2
ECFP4_853,2
ECFP4_60,2
ECFP4_1415,2
ECFP4_1004,2
ECFP4_397,2
ECFP4_634,2
ECFP4_885,2
ECFP4_1432,2
ECFP4_27,2
ECFP4_1909,2
ECFP4_1951,2
ECFP4_234,2
ECFP4_1659,2
ECFP4_1506,2
ECFP4_66,2
ECFP4_63,2
ECFP4_2031,2
ECFP4_1435,2
ECFP4_1657,2
ECFP4_229,2
ECFP4_1939,2
ECFP4_1965,2
ECFP4_32,1
ECFP4_689,1
ECFP4_578,1
ECFP4_1527,1
ECFP4_290,1
ECFP4_286,1
ECFP4_688,1
ECFP4_1290,1
ECFP4_1291,1
ECFP4_1727,1
ECFP4_1616,1
ECFP4_546,1
ECFP4_1620,1
ECFP4_1533,1
ECFP4_1414,1
ECFP4_572,1
ECFP4_1729,1
ECFP4_1746,1
ECFP4_559,1
ECFP4_1749,1
ECFP4_300,1
ECFP4_125,1
ECFP4_1599,1
ECFP4_1999,1
ECFP4_1998,1
ECFP4_1239,1
ECFP4_704,1
ECFP4_1752,1
ECFP4_1577,1
ECFP4_302,1
ECFP4_555,1
ECFP4_1594,1
ECFP4_1755,1
ECFP4_177,1
ECFP4_1250,1
ECFP4_560,1
ECFP4_1252,1
ECFP4_562,1
ECFP4_1546,1
ECFP4_511,1
ECFP4_34,1
ECFP4_1272,1
ECFP4_1735,1
ECFP4_1555,1
ECFP4_1609,1
ECFP4_550,1
ECFP4_698,1
ECFP4_1604,1
ECFP4_1567,1
ECFP4_1742,1
ECFP4_1569,1
ECFP4_697,1
ECFP4_1744,1
ECFP4_131,1
ECFP4_2008,1
ECFP4_1315,1
ECFP4_1298,1
ECFP4_1382,1
ECFP4_1685,1
ECFP4_1377,1
ECFP4_1375,1
ECFP4_1687,1
ECFP4_258,1
ECFP4_259,1
ECFP4_224,1
ECFP4_1690,1
ECFP4_261,1
ECFP4_623,1
ECFP4_622,1
ECFP4_262,1
ECFP4_654,1
ECFP4_1362,1
ECFP4_1691,1
ECFP4_617,1
ECFP4_540,1
ECFP4_254,1
ECFP4_2024,1
ECFP4_514,1
ECFP4_1434,1
ECFP4_240,1
ECFP4_1676,1
ECFP4_245,1
ECFP4_246,1
ECFP4_1678,1
ECFP4_1402,1
ECFP4_641,1
ECFP4_1671,1
ECFP4_644,1
ECFP4_637,1
ECFP4_1395,1
ECFP4_1393,1
ECFP4_1392,1
ECFP4_154,1
ECFP4_1423,1
ECFP4_538,1
ECFP4_1433,1
ECFP4_1468,1
ECFP4_611,1
ECFP4_1646,1
ECFP4_657,1
ECFP4_1500,1
ECFP4_2012,1
ECFP4_1715,1
ECFP4_1501,1
ECFP4_2028,1
ECFP4_139,1
ECFP4_1503,1
ECFP4_1505,1
ECFP4_593,1
ECFP4_1631,1
ECFP4_521,1
ECFP4_517,1
ECFP4_2045,1
ECFP4_1308,1
ECFP4_1514,1
ECFP4_1517,1
ECFP4_1627,1
