experiment_id,model_family,ligand_repr,protein_repr,test_rmse,test_pearson_r,test_spearman_r
gat_ecfp_esm2_8M_ranked,gat,mol_graph,esm2_8M_320,1.1963,0.6434,0.583
transformer_chemberta_100M_esm2_150M,transformer,chemberta_100M,esm2_150M,1.197,0.6278,0.55
transformer_chemberta_600_prot_electra_256,transformer,chemberta_600,prot_electra_256,1.1976,0.635,0.5595
transformer_chemberta_77M_esm2_8M_320,transformer,chemberta_77M,esm2_8M_320,1.1979,0.6365,0.5466
transformer_ecfp6_1024_prot_electra_256,transformer,ecfp6_1024,prot_electra_256,1.198,0.6332,0.5483
bica_v2_singlelayer,bica_v2,mol_atom100,esm2_35M_perresidue,1.1987,0.6394,0.5808
transformer_chemberta_5M_prot_electra_256,transformer,chemberta_5M,prot_electra_256,1.202,0.6412,0.5627
gcn_mol_graph_esm2_35M_480,gcn,mol_graph,esm2_35M_480,1.2024,0.6156,0.5504
transformer_chemberta_600_esm2_150M,transformer,chemberta_600,esm2_150M,1.2029,0.6346,0.5636
mlp_chemberta_aac,mlp,chemberta_600,aac_20,1.2032,0.6286,0.5666
bica_chemberta_100M_esm2_35M_480,bica,chemberta_100M,esm2_35M_480,1.2033,0.6281,0.5451
bica_v2_noffn,bica_v2,mol_atom100,esm2_35M_perresidue,1.2036,0.6464,0.5885
mlp_ecfp6_1024_prot_electra_256,mlp,ecfp6_1024,prot_electra_256,1.2036,0.6552,0.5842
bica_chemberta_77M_esm2_150M,bica,chemberta_77M,esm2_150M,1.204,0.6264,0.5579
gcn_mol_graph_esmc_300M,gcn,mol_graph,esmc_300M,1.2073,0.6276,0.5652
gcn_mol_graph_esm2_150M,gcn,mol_graph,esm2_150M,1.2086,0.634,0.592
gat_mol_graph_esmc_300M,gat,mol_graph,esmc_300M,1.2088,0.6326,0.5705
transformer_ecfp4_aac,transformer,ecfp4_1024,aac_20,1.2095,0.6062,0.55
transformer_seq_smiles_atom_protein_char,transformer_seq,smiles_atom,protein_char,1.2096,0.6061,0.5138
transformer_chemberta_600_esm2_8M_320,transformer,chemberta_600,esm2_8M_320,1.2099,0.6614,0.5781
transformer_seq_smiles_char_protein_bpe_1000,transformer_seq,smiles_char,protein_bpe_1000,1.2108,0.605,0.524
bica_chemberta_prot_electra_dsm,bica,chemberta_600,prot_electra_256,1.2115,0.6277,0.5528
transformer_chemberta_5M_esm2_35M_480,transformer,chemberta_5M,esm2_35M_480,1.2127,0.64,0.581
