timestamp,experiment_id,model_name,model_family,ligand_repr,protein_repr,fusion_strategy,n_params,epochs_trained,batch_size,learning_rate,split_type,n_train,n_val,n_test,val_rmse,val_pearson_r,val_spearman_r,test_rmse,test_pearson_r,test_spearman_r,train_time_sec,notes
2026-04-02 09:12:23 UTC,cnn_smiles_onehot_aac,cnn_smiles_onehot_aac,cnn,smiles_onehot,aac_20,concat,184833.0,40.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.4353,0.3583,0.3052,1.3787,0.5005,0.4371,24.7,
2026-04-02 09:27:07 UTC,lstm_smiles_char_protein_char,lstm_smiles_char_protein_char,lstm,smiles_char,protein_char,dual_encoder,4757825.0,44.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.1478,0.6292,0.5731,1.2462,0.6257,0.5372,880.2,Simplest tokenization: 1 char = 1 token
2026-04-02 09:39:57 UTC,lstm_smiles_atom_protein_char,lstm_smiles_atom_protein_char,lstm,smiles_atom,protein_char,dual_encoder,4758849.0,38.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.1549,0.6075,0.526,1.1654,0.6525,0.566,765.4,"Atom-aware SMILES tokenization (Br,Cl,[NH2+] as single tokens)"
2026-04-02 09:50:23 UTC,lstm_smiles_bpe512_protein_bpe512,lstm_smiles_bpe512_protein_bpe512,lstm,smiles_bpe_512,protein_bpe_512,dual_encoder,4819329.0,34.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.1567,0.6134,0.5297,1.1947,0.646,0.573,621.7,BPE small vocab: learns sub-structure patterns
2026-04-02 09:59:17 UTC,lstm_smiles_bpe1000_protein_bpe1000,lstm_smiles_bpe1000_protein_bpe1000,lstm,smiles_bpe_1000,protein_bpe_1000,dual_encoder,4881793.0,30.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.2137,0.5855,0.5151,1.2227,0.6321,0.588,530.0,BPE larger vocab: richer sub-structure patterns
2026-04-02 10:03:07 UTC,lstm_smiles_atom_protein_wordpiece512,lstm_smiles_atom_protein_wordpiece512,lstm,smiles_atom,protein_wordpiece_512,dual_encoder,4790081.0,42.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.3092,0.4422,0.321,1.2608,0.5726,0.4523,226.8,WordPiece protein tokenization (BERT-style)
2026-04-02 10:14:41 UTC,transformer_seq_smiles_char_protein_char,transformer_seq_smiles_char_protein_char,transformer_seq,smiles_char,protein_char,dual_encoder,1049601.0,32.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.1875,0.56,0.4882,1.2215,0.5985,0.5097,689.9,"Learned-embedding transformer, character tokenization"
2026-04-02 10:25:33 UTC,transformer_seq_smiles_atom_protein_char,transformer_seq_smiles_atom_protein_char,transformer_seq,smiles_atom,protein_char,dual_encoder,1051649.0,30.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.1613,0.5818,0.5212,1.2096,0.6061,0.5138,647.4,"Learned-embedding transformer, atom-level SMILES"
2026-04-02 10:33:30 UTC,transformer_seq_smiles_bpe512_protein_bpe512,transformer_seq_smiles_bpe512_protein_bpe512,transformer_seq,smiles_bpe_512,protein_bpe_512,dual_encoder,1172609.0,24.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.2162,0.5244,0.4609,1.2282,0.5861,0.5342,473.4,"Learned-embedding transformer, BPE-512"
2026-04-02 10:43:32 UTC,transformer_seq_smiles_bpe1000_protein_bpe1000,transformer_seq_smiles_bpe1000_protein_bpe1000,transformer_seq,smiles_bpe_1000,protein_bpe_1000,dual_encoder,1297537.0,31.0,128.0,0.0005,scaffold_bemis_murcko_seed42,17312,2673,4715,1.1801,0.5777,0.5238,1.5254,0.5091,0.5009,598.0,"Learned-embedding transformer, BPE-1000"
