model,model_family,split_type,seed,n_train,n_val,n_test,val_rmse,val_mae,val_pearson,test_rmse,test_mae,test_pearson,test_spearman,n_params,train_time_s,epochs_trained,device,timestamp
MLP_shallow_ECFP4+AAC,mlp,random,42,37028,5289,10581,,,,1.64,1.292,0.178,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4+AAC,mlp,random,123,37028,5289,10581,,,,1.674,1.324,0.14,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4+AAC,mlp,random,456,37028,5289,10581,,,,1.697,1.348,0.164,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4+AAC,mlp,scaffold,42,37028,5289,10581,,,,1.664,1.322,0.112,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4+AAC,mlp,scaffold,123,37028,5289,10581,,,,1.71,1.361,0.067,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4+AAC,mlp,scaffold,456,37028,5289,10581,,,,1.668,1.326,0.118,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4+AAC,mlp,cold_target,42,37028,5289,10581,,,,1.568,1.238,0.098,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4+AAC,mlp,cold_target,123,37028,5289,10581,,,,1.618,1.28,0.068,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4+AAC,mlp,cold_target,456,37028,5289,10581,,,,1.608,1.272,0.076,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4+AAC,mlp,seq_clustered/30pct,42,37028,5289,10581,,,,1.588,1.252,0.084,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4+AAC,mlp,seq_clustered/30pct,123,37028,5289,10581,,,,1.638,1.294,0.059,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4+AAC,mlp,seq_clustered/30pct,456,37028,5289,10581,,,,1.617,1.278,0.065,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4+AAC,mlp,seq_clustered/40pct,42,37028,5289,10581,,,,1.647,1.307,0.144,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4+AAC,mlp,seq_clustered/40pct,123,37028,5289,10581,,,,1.552,1.215,0.159,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4+AAC,mlp,seq_clustered/40pct,456,37028,5289,10581,,,,1.651,1.31,0.066,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4-only,mlp,random,42,37028,5289,10581,,,,1.64,1.292,0.154,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4-only,mlp,random,123,37028,5289,10581,,,,1.678,1.329,0.107,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4-only,mlp,random,456,37028,5289,10581,,,,1.691,1.342,0.145,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4-only,mlp,scaffold,42,37028,5289,10581,,,,1.67,1.323,0.083,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4-only,mlp,scaffold,123,37028,5289,10581,,,,1.712,1.363,0.082,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4-only,mlp,scaffold,456,37028,5289,10581,,,,1.668,1.328,0.094,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4-only,mlp,cold_target,42,37028,5289,10581,,,,1.576,1.244,0.043,,,,,cuda,2026-07-23T12:00:00
MLP_shallow_ECFP4-only,mlp,cold_target,123,37028,5289,10581,,,,1.626,1.288,0.057,,,,,cuda,2026-07-23T12:00:00
